id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,activity,stage
0,0,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,22,192.168.3.1,00:0e:0c:b4:40:5e,00:0e:0c,51427,6,4,0,0,1563224120641,1563224177173,56532,397,42154,1563224120641,1563224177134,56493,169,23562,1563224120641,1563224177173,56532,228,18592,66,106.18136020151124,52.04938753328059,602,66,139.42011834319527,62.10490221035166,602,66,81.54385964912278,20.960268834606623,138,0,142.7575757575757,857.228727031935,14997,0,336.2678571428573,1293.9936022998668,14997,0,249.0396475770924,1121.8590462531606,14997,0,0,0,0,397,250,0,0,0,0,0,0,169,167,0,0,0,0,0,0,228,83,0,0,SSH,RemoteAccess,0,1,,,,,,Normal,Benign
1,0,192.168.3.26,08:00:27:bc:7f:2f,08:00:27,5353,224.0.0.251,01:00:5e:00:00:fb,01:00:5e,5353,17,4,0,0,1563224915490,1563224915490,0,1,87,1563224915490,1563224915490,0,1,87,0,0,0,0,0,87,87.0,0.0,87,87,87.0,0.0,87,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MDNS,Network,0,6,_ipp._tcp.local,,,,,Unknown,Unknown
2,0,192.168.3.1,00:0e:0c:b4:40:5e,00:0e:0c,51427,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,22,6,4,0,0,1563225213946,1563225352719,138773,705,80858,1563225213946,1563225352719,138773,418,34612,1563225213947,1563225352718,138771,287,46246,66,114.69219858156032,83.39812619751099,1370,66,82.80382775119621,21.313347608304458,138,66,161.13588850174227,113.17036016907744,1370,0,197.12073863636343,1617.59099846578,29401,0,332.78896882493984,2092.059677863757,29401,0,485.2132867132867,2514.1366318225355,29401,0,0,0,0,705,449,0,0,0,0,0,0,418,164,0,0,0,0,0,0,287,285,0,0,SSH,RemoteAccess,0,1,,,,,,Normal,Benign
3,0,192.168.3.1,00:0e:0c:b4:40:5e,00:0e:0c,51427,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,22,6,4,0,0,1563225516409,1563225608257,91848,131,13470,1563225516409,1563225608257,91848,75,5774,1563225516409,1563225608256,91847,56,7696,66,102.82442748091606,46.30525487973684,330,66,76.98666666666668,19.27433059329999,122,106,137.42857142857144,49.38268270000477,330,0,706.5230769230766,6440.005297815945,73068,0,1241.1891891891894,8521.524102659705,73068,0,1669.9454545454544,9871.216890757549,73069,0,0,0,0,131,75,0,0,0,0,0,0,75,19,0,0,0,0,0,0,56,56,0,0,SSH,RemoteAccess,0,1,,,,,,Normal,Benign
4,1,192.168.3.10,90:b1:1c:51:bd:0f,90:b1:1c,53569,239.2.11.71,01:00:5e:02:0b:47,01:00:5e,8662,17,4,0,0,1563224122307,1563225903032,1780725,464,43092,1563224122307,1563225903032,1780725,464,43092,0,0,0,0,0,90,92.8706896551724,2.4095926810063286,110,90,92.8706896551724,2.4095926810063286,110,0,0.0,0.0,0,0,3846.0583153347743,6271.391359087952,20020,0,3846.0583153347743,6271.391359087952,20020,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Normal,Benign
5,1,0.0.0.0,e0:db:55:22:e1:0e,e0:db:55,68,255.255.255.255,ff:ff:ff:ff:ff:ff,ff:ff:ff,67,17,4,0,0,1563224122549,1563225920934,1798385,1333,442530,1563224122549,1563225920934,1798385,1333,442530,0,0,0,0,0,330,331.9804951237806,2.484711944745725,342,330,331.9804951237806,2.484711944745725,342,0,0.0,0.0,0,2,1350.1388888888916,1139.623478789213,3310,2,1350.1388888888916,1139.623478789213,3310,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DHCP,Network,0,6,idrac-b99xfx1,"1,3,6,12,15,28,42,43",,,,Normal,Benign
6,1,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,40504,192.168.3.31,08:00:27:27:e1:36,08:00:27,9200,6,4,0,0,1563224123468,1563225920831,1797363,321,232657,1563224123468,1563225920831,1797363,164,195623,1563224123476,1563225920831,1797355,157,37034,66,724.7881619937691,998.9902239183448,4162,66,1192.8231707317077,1216.6810478595285,4162,66,235.88535031847135,171.91795032219713,475,0,5616.759374999998,11371.910036680603,35006,0,11026.76687116564,13950.848913313685,35006,0,11521.506410256408,14060.661637943393,35007,0,0,0,0,321,164,0,0,0,0,0,0,164,86,0,0,0,0,0,0,157,78,0,0,HTTP,Web,0,6,192.168.3.31,,,Go-http-client/1.1,application/json,Normal,Benign
7,0,192.168.3.1,00:0e:0c:b4:40:5e,00:0e:0c,34479,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,113,6,4,0,0,1563224232469,1563224232469,0,2,114,1563224232469,1563224232469,0,1,60,1563224232469,1563224232469,0,1,54,54,57.0,4.242640687119285,60,60,60.0,0.0,60,54,54.0,0.0,54,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Unknown,Unspecified,0,0,,,,,,Unknown,Unknown
8,0,192.168.3.1,00:0e:0c:b4:40:5e,00:0e:0c,34479,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,5900,6,4,0,0,1563224232469,1563224232469,0,2,114,1563224232469,1563224232469,0,1,60,1563224232469,1563224232469,0,1,54,54,57.0,4.242640687119285,60,60,60.0,0.0,60,54,54.0,0.0,54,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,VNC,RemoteAccess,1,1,,,,,,Unknown,Unknown
9,0,192.168.3.1,00:0e:0c:b4:40:5e,00:0e:0c,34479,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,110,6,4,0,0,1563224232469,1563224232469,0,2,114,1563224232469,1563224232469,0,1,60,1563224232469,1563224232469,0,1,54,54,57.0,4.242640687119285,60,60,60.0,0.0,60,54,54.0,0.0,54,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,POP3,Email,1,1,,,,,,Unknown,Unknown
