id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,activity,stage
0,0,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,22,192.168.3.1,00:0e:0c:b4:40:5e,00:0e:0c,36646,6,4,0,0,1563399295039,1563399304614,9575,98,9572,1563399295039,1563399304614,9575,35,4262,1563399295039,1563399304614,9575,63,5310,66,97.6734693877551,32.2448031488378,234,66,121.7714285714286,35.112496279216366,234,66,84.28571428571428,20.991110692638426,138,0,98.71134020618558,248.46205942603552,1303,0,281.61764705882354,359.9108487849231,1304,0,154.43548387096774,297.33524827674705,1303,0,0,0,0,98,61,0,2,0,0,0,0,35,33,0,1,0,0,0,0,63,28,0,1,SSH,RemoteAccess,0,1,,,,,,Unknown,Unknown
1,0,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,8081,192.168.3.34,08:00:27:77:53:c4,08:00:27,53336,6,4,0,0,1563399295083,1563399295083,0,3,198,1563399295083,1563399295083,0,2,132,1563399295083,1563399295083,0,1,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,66,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,Unknown,Unspecified,0,0,,,,,,Unknown,Unknown
2,1,0.0.0.0,5c:f9:dd:f6:a4:06,5c:f9:dd,68,255.255.255.255,ff:ff:ff:ff:ff:ff,ff:ff:ff,67,17,4,0,0,1563399296010,1563401095636,1799626,1305,433290,1563399296010,1563401095636,1799626,1305,433290,0,0,0,0,0,331,332.0229885057472,2.4940589445800097,342,331,332.0229885057472,2.4940589445800097,342,0,0.0,0.0,0,4,1380.0812883435592,1370.186062000323,6347,4,1380.0812883435592,1370.186062000323,6347,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DHCP,Network,0,6,idrac-49n2dz1,"1,3,6,12,15,28,42,43",,,,Normal,Benign
3,1,192.168.3.10,90:b1:1c:51:bd:0f,90:b1:1c,53569,239.2.11.71,01:00:5e:02:0b:47,01:00:5e,8662,17,4,0,0,1563399307328,1563401090431,1783103,445,41326,1563399307328,1563401090431,1783103,445,41326,0,0,0,0,0,90,92.86741573033709,2.448191798304113,110,90,92.86741573033709,2.448191798304113,110,0,0.0,0.0,0,0,4015.997747747752,6968.866712877061,20019,0,4015.997747747752,6968.866712877061,20019,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Normal,Benign
4,1,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,42004,192.168.3.31,08:00:27:27:e1:36,08:00:27,9200,6,4,0,0,1563399296476,1563401089117,1792641,268,177475,1563399296476,1563401089117,1792641,136,145799,1563399296476,1563401089117,1792641,132,31676,66,662.2201492537321,855.5253899948384,3183,66,1072.051470588235,1037.386597603184,3183,66,239.9696969696969,169.4795778817951,433,0,6714.011235955053,12494.09632570975,35005,7,13278.82222222222,14901.39286030384,35005,6,13684.282442748094,14943.908591938987,35005,0,0,0,0,268,136,0,0,0,0,0,0,136,68,0,0,0,0,0,0,132,68,0,0,HTTP,Web,0,6,192.168.3.31,,,Go-http-client/1.1,application/json,Normal,Benign
5,0,192.168.3.1,00:0e:0c:b4:40:5e,00:0e:0c,36653,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,22,6,4,0,0,1563399306931,1563399318687,11756,141,19983,1563399306931,1563399318687,11756,76,8612,1563399306932,1563399318687,11755,65,11371,66,141.72340425531917,216.4120113640044,2034,66,113.31578947368418,231.10206752436267,2034,66,174.93846153846152,194.3791299338644,1042,0,83.97142857142856,464.6979206443493,4768,0,156.7466666666666,628.063757594405,4768,0,183.67187500000003,682.7757319565551,4770,2,0,0,0,140,80,0,2,1,0,0,0,75,24,0,1,1,0,0,0,65,56,0,1,SSH,RemoteAccess,0,6,,E30029A55FEA2FCD3501023FB659BFAE,D43D91BC39D5AAED819AD9F6B57B7348,,,Normal,Benign
6,0,192.168.3.34,08:00:27:77:53:c4,08:00:27,53338,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,8081,6,4,0,0,1563399325083,1563399355090,30007,14,3109,1563399325083,1563399355090,30007,7,2376,1563399325083,1563399355090,30007,7,733,66,222.07142857142856,508.475619911079,1972,66,339.42857142857144,719.9025066268481,1972,66,104.71428571428572,98.94563201697233,329,0,2308.230769230769,4387.872380281931,10239,0,5001.166666666666,5481.847513992583,10239,0,5001.166666666666,5481.87265144555,10240,2,0,0,0,13,2,0,2,1,0,0,0,6,1,0,1,1,0,0,0,7,1,0,1,HTTP,Web,0,6,192.168.3.30,,,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,application/json,Normal,Benign
7,0,192.168.3.34,08:00:27:77:53:c4,08:00:27,53340,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,8081,6,4,0,0,1563399385090,1563399415096,30006,14,3109,1563399385090,1563399415096,30006,7,2376,1563399385090,1563399415096,30006,7,733,66,222.07142857142856,508.475619911079,1972,66,339.42857142857144,719.9025066268481,1972,66,104.71428571428572,98.94563201697233,329,0,2308.153846153846,4386.556391334662,10239,0,5001.0,5479.421757813501,10239,1,5001.0,5479.437525877998,10239,2,0,0,0,13,2,0,2,1,0,0,0,6,1,0,1,1,0,0,0,7,1,0,1,HTTP,Web,0,6,192.168.3.30,,,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,application/json,Normal,Benign
8,0,192.168.3.34,08:00:27:77:53:c4,08:00:27,53342,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,8081,6,4,0,0,1563399445095,1563399475105,30010,14,3109,1563399445095,1563399475105,30010,7,2376,1563399445095,1563399475105,30010,7,733,66,222.07142857142856,508.475619911079,1972,66,339.42857142857144,719.9025066268481,1972,66,104.71428571428572,98.94563201697233,329,0,2308.461538461538,4385.684678880152,10231,0,5001.666666666666,5478.087865913312,10232,1,5001.666666666667,5478.104477523833,10232,2,0,0,0,13,2,0,2,1,0,0,0,6,1,0,1,1,0,0,0,7,1,0,1,HTTP,Web,0,6,192.168.3.30,,,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,application/json,Normal,Benign
9,0,192.168.3.34,08:00:27:77:53:c4,08:00:27,53344,192.168.3.30,08:00:27:e3:e6:2f,08:00:27,8081,6,4,0,0,1563399505101,1563399535110,30009,14,3109,1563399505101,1563399535109,30008,7,2376,1563399505101,1563399535110,30009,7,733,66,222.07142857142856,508.475619911079,1972,66,339.42857142857144,719.9025066268481,1972,66,104.71428571428572,98.94563201697233,329,0,2308.3846153846152,4387.069248341492,10239,0,5001.333333333334,5480.292826726201,10239,1,5001.5,5480.133164440441,10240,2,0,0,0,13,2,0,2,1,0,0,0,6,1,0,1,1,0,0,0,7,1,0,1,HTTP,Web,0,6,192.168.3.30,,,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,application/json,Normal,Benign
